2022-10-20 21:18:36.832 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:22:37.983 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:23:24.522 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:23:29.931 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:24:21.879 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:24:53.809 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:26:45.394 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:33:42.801 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:34:29.804 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:36:02.482 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:36:48.167 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:37:47.691 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:38:26.045 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:39:09.980 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:39:57.021 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:41:59.534 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:42:13.809 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:42:34.687 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:42:59.775 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:43:29.448 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:46:30.376 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:49:26.057 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:49:50.754 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:51:04.752 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:52:31.549 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 21:52:56.699 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 22:13:14.882 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 22:15:11.219 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 22:15:29.580 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 22:15:52.554 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 22:16:12.077 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 22:16:12.653 | ERROR    | handlers.users.start:message_handler:53 - Error Cabinet: 'NoneType' object is not subscriptable
2022-10-20 22:16:12.656 | ERROR    | handlers.users.start:message_handler:53 - Error Cabinet: name 'p' is not defined
2022-10-20 22:16:27.123 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 22:16:35.845 | ERROR    | handlers.users.start:message_handler:53 - Error Cabinet: module 'data.mes' has no attribute 'cabinet'
2022-10-20 22:16:57.720 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 22:17:00.710 | ERROR    | handlers.users.start:message_handler:51 - Error Cabinet: module 'data.mes' has no attribute 'cabinet'
2022-10-20 22:17:55.911 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 22:17:58.432 | ERROR    | handlers.users.start:message_handler:51 - Error Cabinet: 'rating'
2022-10-20 22:18:20.512 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 22:18:22.612 | ERROR    | handlers.users.start:message_handler:51 - Error Cabinet: Bot.send_photo() missing 1 required positional argument: 'photo'
2022-10-20 22:21:28.993 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-20 22:21:32.289 | ERROR    | handlers.users.start:message_handler:51 - Error Cabinet: list index out of range
2022-10-20 22:22:02.418 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-21 11:42:04.799 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-21 11:47:39.109 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-21 12:47:45.264 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-21 12:49:14.051 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-21 12:54:01.195 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-21 12:54:13.193 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-21 18:02:52.982 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-21 18:05:04.205 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-21 18:06:23.334 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-21 18:10:53.570 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
2022-10-21 18:11:44.828 | INFO     | utils.misc.logger:<module>:5 - START LOGGER
